name,Age,selling_price,km_driven,fuel,seller_type,transmission,owner
Hyundai i10 Magna 1.1L,9,229999,60000,Petrol,Individual,Manual,1
BMW 3 Series 320d Sport Line,10,1550000,75800,Diesel,Dealer,Automatic,1
Audi Q7 35 TDI Quattro Premium,14,1250000,78000,Diesel,Dealer,Automatic,1
Hyundai Elantra CRDi S,11,625000,40000,Diesel,Individual,Manual,0
Mahindra Scorpio 1.99 S10,9,1050000,50000,Diesel,Individual,Manual,0
Honda City i DTEC V,9,560000,74000,Diesel,Individual,Manual,1
Maruti Wagon R VXI BS IV with ABS,9,290000,64000,Petrol,Individual,Manual,1
Maruti Wagon R VXI BS IV,11,275000,60000,Petrol,Individual,Manual,1
Mahindra Scorpio LX,14,411000,120000,Diesel,Individual,Manual,1
Hyundai Santro Xing GLS,14,150000,79000,Petrol,Individual,Manual,1
Hyundai Grand i10 1.2 Kappa Asta,4,500000,15000,Petrol,Individual,Manual,0
Maruti Alto LXi,17,100000,80000,Petrol,Individual,Manual,0
Maruti Swift Dzire VDI Optional,6,725000,18500,Diesel,Dealer,Manual,0
Maruti Eeco 5 Seater AC BSIV,5,401000,10200,Petrol,Dealer,Manual,0
Hyundai i20 Sportz 1.4 CRDi,5,750000,29000,Diesel,Dealer,Manual,0
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,5,310000,28000,Petrol,Dealer,Manual,0
Maruti Swift ZDi BSIV,7,665000,46000,Diesel,Dealer,Manual,0
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,9,465000,70000,Diesel,Dealer,Manual,0
Maruti Alto LXi,11,160000,60000,Petrol,Individual,Manual,1
Mahindra Jeep CL 500 MDI,27,250000,35000,Diesel,Individual,Manual,1
Honda City i DTEC VX,9,675000,90000,Diesel,Dealer,Manual,0
Maruti Wagon R VXI BS IV,10,300000,80000,Petrol,Dealer,Manual,0
Tata Indica DLS,18,70000,80000,Diesel,Individual,Manual,0
Hyundai EON Magna Plus,9,240000,73300,Petrol,Dealer,Manual,1
Toyota Etios GD,9,525000,92000,Diesel,Dealer,Manual,0
Maruti Alto LXi,14,151000,66764,Petrol,Dealer,Manual,1
Maruti Alto LXi,14,140000,100000,Petrol,Individual,Manual,0
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,13,280000,350000,Diesel,Individual,Manual,1
Toyota Corolla Altis Diesel D4DG,12,350000,230000,Diesel,Individual,Manual,0
Mahindra Scorpio 1.99 S6 Plus,6,570000,60000,Diesel,Individual,Manual,0
Hyundai EON Magna Plus,5,300000,31000,Petrol,Individual,Manual,0
Tata Indigo Classic Dicor,16,100000,39000,Diesel,Individual,Manual,0
Toyota Innova 2.5 V Diesel 8-seater,14,500000,120000,Diesel,Individual,Manual,1
Tata Indica Vista Quadrajet LS,9,125000,166000,Diesel,Individual,Manual,1
Maruti Swift 1.3 VXi,17,130000,110000,Petrol,Individual,Manual,1
Ford EcoSport 1.5 Diesel Titanium BSIV,6,925000,35000,Diesel,Individual,Manual,0
Maruti Ciaz 1.3 Delta,5,750000,60000,Diesel,Individual,Manual,0
Honda Civic 1.8 V AT,16,200000,54000,Petrol,Individual,Automatic,1
Hyundai i10 Sportz 1.2,13,248000,63000,Petrol,Individual,Manual,1
Skoda Rapid 1.5 TDI Elegance,9,450000,120000,Diesel,Individual,Manual,1
Hyundai Getz GLS,18,80000,120000,Petrol,Individual,Manual,1
Nissan Terrano XL,9,650000,76000,Petrol,Individual,Manual,1
Hyundai Grand i10 CRDi Sportz,8,450000,80000,Diesel,Individual,Manual,0
Hyundai Elite i20 Diesel Era,4,650000,25000,Diesel,Individual,Manual,0
Honda Amaze S i-VTEC,7,495000,11958,Petrol,Dealer,Manual,0
Honda Brio S MT,8,371000,20000,Petrol,Dealer,Manual,0
Hyundai Creta 1.6 SX Option,6,1025000,9000,Petrol,Dealer,Manual,0
Mercedes-Benz S-Class S 350d Connoisseurs Edition,6,8150000,6500,Diesel,Dealer,Automatic,0
Mahindra XUV500 W8 2WD,8,750000,70000,Diesel,Individual,Manual,0
Renault Duster 85PS Diesel RxL Optional,10,600000,120000,Diesel,Individual,Manual,0
Hyundai Santro Xing XO,16,80000,58000,Petrol,Dealer,Manual,1
Mahindra Bolero 2011-2019 SLE,10,325000,62200,Diesel,Dealer,Manual,0
Audi A6 2.0 TDI Premium Plus,9,1470000,34000,Diesel,Dealer,Automatic,1
Fiat Avventura MULTIJET Emotion,8,350000,53000,Diesel,Individual,Manual,1
Audi A8 4.2 TDI,10,2800000,49000,Diesel,Dealer,Automatic,0
Datsun RediGO 1.0 S,6,210000,15000,Petrol,Dealer,Manual,1
Volkswagen Jetta 1.4 TSI Comfortline,10,450000,50000,Petrol,Individual,Manual,0
Audi A4 2.0 TDI 177 Bhp Premium Plus,10,1150000,53000,Diesel,Dealer,Automatic,0
Honda Civic 1.8 V AT,14,210000,63500,Petrol,Dealer,Automatic,0
Mercedes-Benz E-Class Exclusive E 200 BSIV,5,4500000,9800,Petrol,Dealer,Automatic,0
BMW X1 sDrive 20d xLine,6,2750000,13000,Diesel,Individual,Automatic,0
Volvo V40 D3 R Design,5,1975000,21000,Diesel,Dealer,Automatic,0
Maruti SX4 Zxi BSIII,15,175000,29173,Petrol,Dealer,Manual,0
BMW 7 Series 730Ld,11,2500000,48000,Diesel,Dealer,Automatic,0
Mahindra Bolero Power Plus SLX,6,628000,120000,Diesel,Individual,Manual,0
Hyundai Sonata CRDi M/T,13,600000,100000,Diesel,Individual,Manual,0
Nissan Micra Active XV Petrol,6,399000,30000,Petrol,Individual,Manual,0
Mahindra Xylo D4,5,750000,87000,Diesel,Individual,Manual,0
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,4,750000,15000,Petrol,Individual,Manual,0
Renault KWID RXT,6,315000,16000,Petrol,Individual,Manual,0
Mahindra Xylo E4 BS III,11,600000,60000,Diesel,Individual,Manual,0
Maruti Wagon R LXI Minor,13,100000,60000,Petrol,Individual,Manual,1
Maruti SX4 ZXI MT BSIV,12,250000,110000,Petrol,Individual,Manual,1
Renault KWID RXT,6,350000,25000,Petrol,Individual,Manual,0
Hyundai Creta 1.4 CRDi S,7,780000,60000,Diesel,Individual,Manual,0
Maruti Swift Dzire VDI,9,434000,79350,Diesel,Individual,Manual,1
Hyundai Verna 1.6 VTVT AT S Option,7,690000,80000,Petrol,Individual,Automatic,0
Mahindra Scorpio LX BSIV,9,555000,90000,Diesel,Individual,Manual,1
Maruti SX4 Vxi BSIII,16,120000,90000,Petrol,Individual,Manual,1
Maruti Ertiga VDI,9,500000,120000,Diesel,Individual,Manual,1
Chevrolet Beat Diesel,10,165000,60000,Diesel,Individual,Manual,1
Maruti Zen LX,19,95000,50000,Petrol,Individual,Manual,0
Maruti Baleno Delta 1.2,5,550000,20000,Petrol,Individual,Manual,0
Maruti Swift Vdi BSIII,16,100000,110000,Diesel,Individual,Manual,1
Tata Nano Lx BSIV,11,100000,50000,Petrol,Individual,Manual,1
Toyota Innova 2.5 GX (Diesel) 8 Seater,11,500000,100000,Diesel,Individual,Manual,0
Maruti Ertiga SHVS VDI,7,800000,70000,Diesel,Individual,Manual,1
Hyundai Creta 1.6 CRDi SX,7,840000,70000,Diesel,Individual,Manual,1
Honda Amaze S i-Vtech,7,490000,50000,Petrol,Individual,Manual,0
Tata Indica Vista Aqua 1.4 TDI,13,125000,81000,Diesel,Individual,Manual,1
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,11,400000,120000,Diesel,Individual,Manual,1
Chevrolet Cruze LTZ,8,1000000,3600,Diesel,Dealer,Manual,0
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,8,530000,14272,Petrol,Dealer,Manual,0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,6,840000,49213,Diesel,Dealer,Manual,0
Hyundai i10 Sportz 1.1L,8,229999,40000,Petrol,Individual,Manual,0
Maruti 800 Std,25,40000,40000,Petrol,Individual,Manual,1
Chevrolet Spark 1.0 LS,11,130000,80000,Petrol,Individual,Manual,0
Hyundai EON Era Plus,8,200000,70000,Petrol,Individual,Manual,0
Tata Indica Vista Aqua TDI BSIII,12,120000,70000,Diesel,Individual,Manual,0
Hyundai Santro LP zipPlus,20,75000,57000,Petrol,Individual,Manual,0
Tata Bolt Quadrajet XE,7,250000,120000,Diesel,Individual,Manual,0
Maruti 800 AC BSIII,18,100000,30000,Petrol,Individual,Manual,0
Hyundai EON Era Plus,10,280000,3240,Petrol,Individual,Manual,1
Hyundai i20 Magna 1.2,8,540000,5000,Petrol,Individual,Manual,0
Hyundai i20 1.2 Asta,5,700000,10000,Petrol,Individual,Manual,0
Maruti Ciaz VDi Plus,8,525000,100000,Diesel,Individual,Manual,0
Hyundai i20 Asta 1.4 CRDi,7,430000,80000,Diesel,Individual,Manual,0
Hyundai Santro LE,21,65000,70000,Petrol,Individual,Manual,0
Maruti Vitara Brezza VDi,5,800000,35000,Diesel,Individual,Manual,0
Hyundai Santro Xing XL eRLX Euro III,16,75000,114000,Petrol,Individual,Manual,1
Hyundai Getz 1.3 GLS,15,210000,53772,Petrol,Individual,Manual,0
Mahindra Quanto C8,11,195000,140000,Diesel,Individual,Manual,1
Chevrolet Tavera Neo 3 LS 7 C BSIII,8,400000,120000,Diesel,Individual,Manual,0
Hyundai EON Magna Plus,11,170000,60000,Petrol,Individual,Manual,0
Renault KWID RXT,7,225000,25000,Petrol,Individual,Manual,0
Maruti Wagon R DUO LPG,9,210000,90000,Other,Individual,Manual,0
Maruti Wagon R LXI,3,240000,120000,Petrol,Individual,Manual,0
Chevrolet Enjoy 1.3 TCDi LS 8,8,300000,175000,Diesel,Individual,Manual,0
Chevrolet Spark 1.0 LS,12,99000,100000,Petrol,Individual,Manual,1
Honda City i VTEC SV,9,620000,36000,Petrol,Individual,Manual,0
Honda Amaze VX i-DTEC,10,500000,30000,Diesel,Individual,Manual,0
Jaguar XJ 5.0 L V8 Supercharged,13,2550000,40000,Petrol,Individual,Automatic,1
Honda Brio E MT,10,260000,70000,Petrol,Individual,Manual,1
Maruti Swift VVT ZXI,6,550000,60000,Petrol,Individual,Manual,0
Tata Indigo CR4,12,150000,155500,Diesel,Individual,Manual,0
Hyundai i10 Asta AT,12,350000,50000,Petrol,Individual,Automatic,1
Chevrolet Beat LT,7,320000,40000,Petrol,Individual,Manual,0
Maruti Swift VDI BSIV,8,400000,100000,Diesel,Individual,Manual,1
Maruti Alto LXi,11,175000,80000,Petrol,Individual,Manual,1
Chevrolet Beat LT,12,120000,90000,Petrol,Individual,Manual,1
Renault Duster 110PS Diesel RxZ,10,320000,90000,Diesel,Individual,Manual,1
Hyundai Santro Xing XG,17,70000,110000,Petrol,Individual,Manual,1
Maruti Swift Dzire ZXI Plus,4,810000,15000,Petrol,Individual,Manual,0
Maruti 800 AC,16,95000,100000,Petrol,Individual,Manual,1
Maruti Alto K10 LXI CNG,3,282000,40000,Other,Individual,Manual,0
Maruti 800 Std BSII,19,80000,60000,Petrol,Individual,Manual,1
Tata Nano LX SE,10,72000,25000,Petrol,Individual,Manual,0
Hyundai i20 Magna 1.2,7,600000,25000,Petrol,Individual,Manual,0
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,8,640000,23000,Petrol,Individual,Manual,0
Maruti Alto K10 VXI,5,380000,22155,Petrol,Individual,Manual,0
Maruti Ciaz 1.4 Delta,5,650000,70000,Petrol,Individual,Manual,0
Maruti Alto LX,14,150000,60000,Petrol,Individual,Manual,1
Hyundai i20 Asta,14,280000,110000,Petrol,Individual,Manual,1
Tata Nexon 1.2 Revotron XM,5,430000,30000,Petrol,Individual,Manual,0
Mahindra Bolero Power Plus SLX,4,800000,15000,Diesel,Individual,Manual,0
Maruti Zen D,20,75000,100000,Diesel,Individual,Manual,1
Volkswagen Vento Celeste 1.5 TDI Highline AT,7,650000,70000,Diesel,Individual,Automatic,0
Maruti Eeco 7 Seater Standard BSIV,6,390000,24000,Petrol,Individual,Manual,0
Honda City 1.5 EXI,18,100000,120000,Petrol,Individual,Manual,1
Mercedes-Benz New C-Class 220 CDI AT,10,1500000,35000,Diesel,Individual,Automatic,0
Maruti SX4 Zxi with Leather BSIII,16,175000,78380,Petrol,Individual,Manual,0
Renault Duster 110PS Diesel RxZ,11,434999,110000,Diesel,Individual,Manual,1
Ford Figo Diesel Titanium,13,170000,90000,Diesel,Individual,Manual,1
Ford Figo Diesel Titanium,12,190000,90000,Diesel,Individual,Manual,1
Maruti Swift Dzire VDi,14,250000,150000,Diesel,Individual,Manual,1
Mahindra Xylo E4,14,229999,230000,Diesel,Individual,Manual,1
Maruti Esteem Vxi - BSIII,17,140000,70000,Petrol,Individual,Manual,1
Maruti Swift VDI BSIV,6,600000,80362,Diesel,Individual,Manual,0
Hyundai i20 1.2 Sportz,11,280000,110000,Petrol,Individual,Manual,1
Chevrolet Beat Diesel LT,11,150000,60000,Diesel,Individual,Manual,0
Chevrolet Cruze LTZ AT,8,650000,50000,Diesel,Individual,Automatic,0
Nissan Micra XL,9,210000,40000,Petrol,Individual,Manual,1
BMW 5 Series 520d Luxury Line,6,2900000,40000,Diesel,Individual,Automatic,0
Chevrolet Enjoy 1.3 TCDi LS 8,10,425000,20000,Diesel,Dealer,Manual,0
Hyundai EON Era Plus Option,9,265000,55000,Petrol,Dealer,Manual,0
Fiat Linea T Jet Emotion,5,890000,1136,Petrol,Dealer,Manual,0
Renault Scala RxL,10,365000,55000,Petrol,Dealer,Manual,0
Ford Figo Petrol Titanium,9,350000,43000,Petrol,Dealer,Manual,0
Maruti Ciaz ZDi SHVS,7,685000,60000,Diesel,Individual,Manual,0
Skoda Rapid 1.5 TDI Ambition BSIV,5,940000,2650,Diesel,Dealer,Manual,0
Mahindra XUV500 W6 2WD,6,1000000,40000,Diesel,Individual,Manual,0
Mahindra XUV300 W8 Option,4,1150000,15000,Petrol,Dealer,Manual,0
Maruti Ertiga SHVS ZDI,7,450000,115962,Diesel,Individual,Manual,1
Nissan Terrano XE D,8,590000,65000,Diesel,Dealer,Manual,0
Maruti S-Cross Facelift,6,800000,40000,Diesel,Individual,Manual,0
Hyundai i20 Magna 1.4 CRDi (Diesel),11,385000,58000,Diesel,Dealer,Manual,0
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,10,2000000,15000,Diesel,Individual,Automatic,0
Hyundai EON Era Plus,11,235000,54000,Petrol,Dealer,Manual,0
Volkswagen Ameo 1.5 TDI Highline,6,640000,56000,Diesel,Dealer,Manual,0
Maruti Alto LX,17,52000,120000,Petrol,Individual,Manual,1
Maruti Omni LPG CARGO BSIII W IMMOBILISER,14,80000,90000,Other,Individual,Manual,1
Maruti Alto LX,11,140000,70000,Petrol,Individual,Manual,1
Hyundai Verna i (Petrol),15,120000,90000,Petrol,Individual,Manual,1
Mahindra Renault Logan 1.5 DLS,15,89999,213000,Diesel,Individual,Manual,0
Chevrolet Optra Magnum 2.0 LS BSIII,11,180000,120000,Diesel,Individual,Manual,0
Mahindra Scorpio S11 BSIV,6,1500000,20000,Diesel,Individual,Manual,0
Hyundai i20 Active 1.2 SX,6,700000,10000,Petrol,Individual,Manual,0
Maruti SX4 Celebration Diesel,11,285000,80000,Diesel,Individual,Manual,1
Hyundai Grand i10 Magna,8,390000,90000,Petrol,Individual,Manual,0
Maruti Alto LXi BSIII,15,125000,80000,Petrol,Individual,Manual,0
Maruti SX4 Zxi with Leather BSIII,15,225000,60000,Petrol,Individual,Manual,1
Hyundai i10 Era,12,175000,139000,Petrol,Individual,Manual,1
Toyota Innova 2.5 V Diesel 7-seater,12,1075000,160000,Diesel,Individual,Manual,1
Honda Mobilio V i DTEC,9,300000,150000,Diesel,Individual,Manual,0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,13,700000,163000,Diesel,Individual,Manual,1
Tata Indica V2 2001-2011 DLS BSIII,14,90000,120000,Diesel,Dealer,Manual,0
Tata Indica Vista TDI LS,12,120000,120000,Diesel,Individual,Manual,1
Chevrolet Beat Diesel LS,11,220000,100000,Diesel,Individual,Manual,1
Tata Zest Quadrajet 1.3 75PS XE,8,300000,140000,Diesel,Dealer,Manual,0
Skoda Fabia 1.2L Diesel Ambiente,13,180000,87000,Diesel,Dealer,Manual,1
Maruti 800 Std,10,170000,70000,Petrol,Individual,Manual,0
Ford Figo Petrol Titanium,8,300000,50000,Petrol,Individual,Manual,1
Toyota Innova 2.5 VX (Diesel) 8 Seater,9,1050000,70000,Diesel,Individual,Manual,0
Honda Mobilio V i DTEC,9,300000,150000,Diesel,Individual,Manual,0
Hyundai Grand i10 1.2 CRDi Asta,5,465000,25000,Diesel,Individual,Manual,0
Chevrolet Beat Diesel LT,12,130000,80000,Diesel,Individual,Manual,1
Datsun GO Plus T Option Petrol,5,434999,10000,Petrol,Individual,Manual,0
Hyundai Grand i10 1.2 Kappa Asta,5,500000,32000,Petrol,Individual,Manual,0
Maruti Omni MPI STD BSIV,5,200000,10000,Petrol,Individual,Manual,0
Maruti Baleno Alpha 1.2,6,625000,52000,Petrol,Dealer,Manual,0
Ford Fiesta Classic 1.4 SXI Duratorq,17,110000,120000,Diesel,Individual,Manual,1
Hyundai Elite i20 Asta Option BSIV,4,800000,11240,Petrol,Individual,Manual,0
Hyundai Grand i10 CRDi Magna,6,490000,66000,Diesel,Dealer,Manual,0
Maruti Ertiga SHVS ZDI,6,880000,64000,Diesel,Dealer,Manual,0
Hyundai Santro Xing GL Plus,10,290000,49000,Petrol,Individual,Manual,0
Tata Sumo GX TC 7 Str BSIII,17,115999,100000,Diesel,Individual,Manual,1
Renault KWID RXT,5,360000,26500,Petrol,Individual,Manual,0
Maruti 800 AC,21,65000,100000,Petrol,Individual,Manual,1
Maruti Vitara Brezza LDi Option,6,685000,72000,Diesel,Dealer,Manual,0
Honda Jazz S,14,300000,50000,Petrol,Individual,Manual,0
Hyundai i20 1.4 Sportz,6,680000,44000,Diesel,Dealer,Manual,0
Maruti Ertiga SHVS ZDI Plus,6,1000000,60000,Diesel,Individual,Manual,1
Tata Sumo SE Plus BSIII,21,100000,120000,Diesel,Individual,Manual,0
Mahindra Xylo E4,13,160000,130000,Diesel,Individual,Manual,0
Maruti Swift ZDi BSIV,6,450000,70000,Diesel,Individual,Manual,0
Maruti Ertiga VXI,9,600000,20000,Petrol,Individual,Manual,0
Hyundai i20 1.4 Magna ABS,14,180000,60000,Diesel,Individual,Manual,1
Maruti Alto LXi,16,100000,195000,Petrol,Individual,Manual,0
Maruti Alto LXi,13,120000,90000,Petrol,Individual,Manual,1
Hyundai Getz GL,17,130000,80000,Petrol,Individual,Manual,1
Maruti Wagon R LX BS IV,12,160000,155000,Petrol,Individual,Manual,0
Mahindra Bolero Power Plus SLX,4,860000,35000,Diesel,Individual,Manual,0
Hyundai i20 1.2 Spotz,5,650000,20000,Petrol,Individual,Manual,1
Maruti Wagon R LXI Minor,13,100000,80000,Petrol,Individual,Manual,1
Maruti Alto 800 VXI,6,282000,20000,Petrol,Individual,Manual,0
Hyundai i20 Asta (o),14,300000,50000,Petrol,Individual,Manual,0
Hyundai i20 Asta,13,270000,110000,Petrol,Individual,Manual,1
Hyundai Verna 1.6 SX CRDi (O),10,550000,29000,Diesel,Individual,Manual,0
Mahindra Xylo D2 BSIV,10,450000,120000,Diesel,Individual,Manual,0
Mahindra Bolero SLX 2WD BSIII,12,430000,70000,Diesel,Individual,Manual,1
Maruti Ertiga VXI ABS,10,350000,40000,Petrol,Individual,Manual,0
Honda Brio 1.2 E MT,6,350000,20000,Petrol,Individual,Manual,0
Toyota Etios Liva G,10,229999,50000,Petrol,Individual,Manual,1
Maruti Alto 800 LXI,10,110000,50000,Petrol,Individual,Manual,0
Maruti Swift Dzire 1.2 Vxi BSIV,11,395000,49000,Petrol,Individual,Manual,1
Mahindra Scorpio VLS AT 2.2 mHAWK,12,650000,70000,Diesel,Individual,Automatic,1
Mahindra Bolero SLX,12,350000,90000,Diesel,Individual,Manual,1
Mahindra XUV500 W11 Option AWD,3,1400000,25000,Diesel,Dealer,Manual,0
Tata Tiago 1.2 Revotron XZ,5,360000,4000,Petrol,Individual,Manual,0
Mahindra Marazzo M8 8Str,5,1300000,10000,Diesel,Individual,Manual,0
Renault Duster 110PS Diesel RxL,8,800000,15000,Diesel,Individual,Manual,0
Hyundai EON Magna Plus,5,229999,30000,Petrol,Individual,Manual,0
Maruti Wagon R VXI,9,315000,41000,Petrol,Dealer,Manual,0
Chevrolet Spark 1.0 LT,11,125000,28000,Petrol,Individual,Manual,0
Maruti Baleno Alpha,4,700000,16000,Petrol,Individual,Manual,0
Hyundai EON 1.0 Kappa Magna Plus,8,160000,70000,Petrol,Individual,Manual,0
Ford Figo Aspire 1.2 Ti-VCT Trend,6,530000,10832,Petrol,Dealer,Manual,0
Ford Figo Aspire Facelift,5,624000,14681,Diesel,Dealer,Manual,0
Hyundai i10 Era,14,250000,50000,Petrol,Individual,Manual,0
Mahindra Bolero SLX,7,585000,51000,Diesel,Dealer,Manual,0
Hyundai Verna 1.4 VTVT,8,500000,25000,Petrol,Individual,Manual,0
Chevrolet Sail 1.2 LT ABS,9,350000,30000,Petrol,Individual,Manual,0
Honda City i-DTEC SV,9,495000,80000,Diesel,Dealer,Manual,0
Hyundai Grand i10 1.2 Kappa Asta,6,500000,50000,Petrol,Individual,Manual,0
Mahindra Bolero Power Plus Plus AC BSIV PS,8,430000,200000,Diesel,Individual,Manual,0
Hyundai Grand i10 1.2 Kappa Sportz Option,10,345000,44000,Petrol,Dealer,Manual,0
Maruti Baleno Sigma 1.2,8,500000,10000,Petrol,Individual,Manual,0
Tata Tiago 1.2 Revotron XZ,4,425000,19600,Petrol,Individual,Manual,0
Maruti Wagon R LXI,18,80000,40000,Petrol,Individual,Manual,1
Chevrolet Beat Diesel LS,12,106000,50000,Diesel,Individual,Manual,0
Maruti A-Star Vxi,14,180000,46730,Petrol,Individual,Manual,0
Datsun GO A,8,250000,40000,Petrol,Individual,Manual,1
Skoda Yeti Ambition 4WD,12,350000,80000,Diesel,Individual,Manual,0
Maruti Zen LXi BSII,21,60000,80000,Petrol,Individual,Manual,1
Hyundai Verna CRDi 1.6 EX,5,900000,24000,Diesel,Individual,Manual,0
Ford Aspire Titanium Diesel BSIV,6,700000,21170,Diesel,Dealer,Manual,0
BMW 3 Series 320d Sport,10,2000000,167223,Diesel,Dealer,Automatic,0
Maruti Ertiga SHVS ZDI Plus,6,1000000,40000,Diesel,Individual,Manual,0
BMW X1 sDrive 20d Exclusive,12,1375000,60000,Diesel,Individual,Automatic,0
Toyota Innova Crysta 2.4 VX MT,7,1800000,141440,Diesel,Dealer,Manual,0
Chevrolet Tavera Neo 3 10 Seats BSIV,16,160000,120000,Diesel,Individual,Manual,1
Mitsubishi Outlander 2.4,11,525000,140000,Petrol,Individual,Automatic,0
Mahindra XUV500 W8 2WD,11,850000,212814,Diesel,Dealer,Manual,0
Maruti Baleno Alpha 1.3,4,800000,30000,Diesel,Individual,Manual,0
Ford Figo Aspire 1.5 TDCi Titanium,6,700000,88635,Diesel,Dealer,Manual,0
Maruti Swift Dzire VDI,5,800000,25000,Diesel,Individual,Manual,0
Hyundai i20 1.2 Spotz,6,575000,20000,Petrol,Individual,Manual,1
Renault Duster 110PS Diesel RxZ,11,350000,110000,Diesel,Individual,Manual,1
Maruti Swift Vdi BSIII,15,250000,120000,Diesel,Individual,Manual,1
Ford Endeavour Titanium 4X2,12,600000,149674,Diesel,Dealer,Manual,1
Mahindra Scorpio 2.6 Turbo 9 Str,16,370000,100000,Diesel,Individual,Manual,1
Maruti Baleno Vxi,17,80000,120000,Petrol,Individual,Manual,1
Tata Indica DLX,20,50000,120000,Diesel,Individual,Manual,1
Hyundai Verna CRDi 1.6 EX,5,900000,25000,Diesel,Individual,Manual,0
Maruti Wagon R VXI BS IV,9,300000,35000,Petrol,Individual,Manual,1
Tata Indica LSI,21,125000,40000,Petrol,Individual,Manual,0
Maruti Swift Dzire VDI,8,490000,60000,Diesel,Individual,Manual,1
Toyota Etios Liva GD,11,300000,50000,Diesel,Individual,Manual,1
Tata Nano STD,10,55000,25000,Petrol,Individual,Manual,1
Hyundai Grand i10 Sportz,7,350000,25000,Petrol,Individual,Manual,0
