name,owner,Age,selling_price,km_driven,fuel_Diesel,fuel_Petrol,seller_type_Dealer,seller_type_Individual,transmission_Manual
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,1,13,280000,350000,1,0,0,1,1
Toyota Corolla Altis Diesel D4DG,0,12,350000,230000,1,0,0,1,1
Mahindra Scorpio 1.99 S6 Plus,0,6,570000,60000,1,0,0,1,1
Hyundai EON Magna Plus,0,5,300000,31000,0,1,0,1,1
Tata Indigo Classic Dicor,0,16,100000,39000,1,0,0,1,1
Toyota Innova 2.5 V Diesel 8-seater,1,14,500000,120000,1,0,0,1,1
Tata Indica Vista Quadrajet LS,1,9,125000,166000,1,0,0,1,1
Maruti Swift 1.3 VXi,1,17,130000,110000,0,1,0,1,1
Ford EcoSport 1.5 Diesel Titanium BSIV,0,6,925000,35000,1,0,0,1,1
Maruti Ciaz 1.3 Delta,0,5,750000,60000,1,0,0,1,1
Honda Civic 1.8 V AT,1,16,200000,54000,0,1,0,1,0
Hyundai i10 Sportz 1.2,1,13,248000,63000,0,1,0,1,1
Skoda Rapid 1.5 TDI Elegance,1,9,450000,120000,1,0,0,1,1
Hyundai Getz GLS,1,18,80000,120000,0,1,0,1,1
Nissan Terrano XL,1,9,650000,76000,0,1,0,1,1
Hyundai Grand i10 CRDi Sportz,0,8,450000,80000,1,0,0,1,1
Hyundai Elite i20 Diesel Era,0,4,650000,25000,1,0,0,1,1
Honda Amaze S i-VTEC,0,7,495000,11958,0,1,1,0,1
Honda Brio S MT,0,8,371000,20000,0,1,1,0,1
Hyundai Creta 1.6 SX Option,0,6,1025000,9000,0,1,1,0,1
Mercedes-Benz S-Class S 350d Connoisseurs Edition,0,6,8150000,6500,1,0,1,0,0
Mahindra XUV500 W8 2WD,0,8,750000,70000,1,0,0,1,1
Renault Duster 85PS Diesel RxL Optional,0,10,600000,120000,1,0,0,1,1
Hyundai Santro Xing XO,1,16,80000,58000,0,1,1,0,1
Mahindra Bolero 2011-2019 SLE,0,10,325000,62200,1,0,1,0,1
Audi A6 2.0 TDI Premium Plus,1,9,1470000,34000,1,0,1,0,0
Fiat Avventura MULTIJET Emotion,1,8,350000,53000,1,0,0,1,1
Audi A8 4.2 TDI,0,10,2800000,49000,1,0,1,0,0
Datsun RediGO 1.0 S,1,6,210000,15000,0,1,1,0,1
Volkswagen Jetta 1.4 TSI Comfortline,0,10,450000,50000,0,1,0,1,1
Audi A4 2.0 TDI 177 Bhp Premium Plus,0,10,1150000,53000,1,0,1,0,0
Honda Civic 1.8 V AT,0,14,210000,63500,0,1,1,0,0
Mercedes-Benz E-Class Exclusive E 200 BSIV,0,5,4500000,9800,0,1,1,0,0
BMW X1 sDrive 20d xLine,0,6,2750000,13000,1,0,0,1,0
Volvo V40 D3 R Design,0,5,1975000,21000,1,0,1,0,0
Maruti SX4 Zxi BSIII,0,15,175000,29173,0,1,1,0,1
BMW 7 Series 730Ld,0,11,2500000,48000,1,0,1,0,0
Mahindra Bolero Power Plus SLX,0,6,628000,120000,1,0,0,1,1
Hyundai Sonata CRDi M/T,0,13,600000,100000,1,0,0,1,1
Nissan Micra Active XV Petrol,0,6,399000,30000,0,1,0,1,1
Mahindra Xylo D4,0,5,750000,87000,1,0,0,1,1
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,0,4,750000,15000,0,1,0,1,1
Renault KWID RXT,0,6,315000,16000,0,1,0,1,1
Mahindra Xylo E4 BS III,0,11,600000,60000,1,0,0,1,1
Maruti Wagon R LXI Minor,1,13,100000,60000,0,1,0,1,1
Maruti SX4 ZXI MT BSIV,1,12,250000,110000,0,1,0,1,1
Renault KWID RXT,0,6,350000,25000,0,1,0,1,1
Hyundai Creta 1.4 CRDi S,0,7,780000,60000,1,0,0,1,1
Maruti Swift Dzire VDI,1,9,434000,79350,1,0,0,1,1
Hyundai Verna 1.6 VTVT AT S Option,0,7,690000,80000,0,1,0,1,0
Mahindra Scorpio LX BSIV,1,9,555000,90000,1,0,0,1,1
Maruti SX4 Vxi BSIII,1,16,120000,90000,0,1,0,1,1
Maruti Ertiga VDI,1,9,500000,120000,1,0,0,1,1
Chevrolet Beat Diesel,1,10,165000,60000,1,0,0,1,1
Maruti Zen LX,0,19,95000,50000,0,1,0,1,1
Maruti Baleno Delta 1.2,0,5,550000,20000,0,1,0,1,1
Maruti Swift Vdi BSIII,1,16,100000,110000,1,0,0,1,1
Tata Nano Lx BSIV,1,11,100000,50000,0,1,0,1,1
Toyota Innova 2.5 GX (Diesel) 8 Seater,0,11,500000,100000,1,0,0,1,1
Maruti Ertiga SHVS VDI,1,7,800000,70000,1,0,0,1,1
Hyundai Creta 1.6 CRDi SX,1,7,840000,70000,1,0,0,1,1
Honda Amaze S i-Vtech,0,7,490000,50000,0,1,0,1,1
Tata Indica Vista Aqua 1.4 TDI,1,13,125000,81000,1,0,0,1,1
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,1,11,400000,120000,1,0,0,1,1
Chevrolet Cruze LTZ,0,8,1000000,3600,1,0,1,0,1
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,0,8,530000,14272,0,1,1,0,1
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,0,6,840000,49213,1,0,1,0,1
Hyundai i10 Sportz 1.1L,0,8,229999,40000,0,1,0,1,1
Maruti 800 Std,1,25,40000,40000,0,1,0,1,1
Chevrolet Spark 1.0 LS,0,11,130000,80000,0,1,0,1,1
Hyundai EON Era Plus,0,8,200000,70000,0,1,0,1,1
Tata Indica Vista Aqua TDI BSIII,0,12,120000,70000,1,0,0,1,1
Hyundai Santro LP zipPlus,0,20,75000,57000,0,1,0,1,1
Tata Bolt Quadrajet XE,0,7,250000,120000,1,0,0,1,1
Maruti 800 AC BSIII,0,18,100000,30000,0,1,0,1,1
Hyundai EON Era Plus,1,10,280000,3240,0,1,0,1,1
Hyundai i20 Magna 1.2,0,8,540000,5000,0,1,0,1,1
Hyundai i20 1.2 Asta,0,5,700000,10000,0,1,0,1,1
Maruti Ciaz VDi Plus,0,8,525000,100000,1,0,0,1,1
Hyundai i20 Asta 1.4 CRDi,0,7,430000,80000,1,0,0,1,1
Hyundai Santro LE,0,21,65000,70000,0,1,0,1,1
Maruti Vitara Brezza VDi,0,5,800000,35000,1,0,0,1,1
Hyundai Santro Xing XL eRLX Euro III,1,16,75000,114000,0,1,0,1,1
Hyundai Getz 1.3 GLS,0,15,210000,53772,0,1,0,1,1
Mahindra Quanto C8,1,11,195000,140000,1,0,0,1,1
Chevrolet Tavera Neo 3 LS 7 C BSIII,0,8,400000,120000,1,0,0,1,1
Hyundai EON Magna Plus,0,11,170000,60000,0,1,0,1,1
Renault KWID RXT,0,7,225000,25000,0,1,0,1,1
Maruti Wagon R DUO LPG,0,9,210000,90000,0,0,0,1,1
Maruti Wagon R LXI,0,3,240000,120000,0,1,0,1,1
Chevrolet Enjoy 1.3 TCDi LS 8,0,8,300000,175000,1,0,0,1,1
Chevrolet Spark 1.0 LS,1,12,99000,100000,0,1,0,1,1
Honda City i VTEC SV,0,9,620000,36000,0,1,0,1,1
Honda Amaze VX i-DTEC,0,10,500000,30000,1,0,0,1,1
Jaguar XJ 5.0 L V8 Supercharged,1,13,2550000,40000,0,1,0,1,0
Honda Brio E MT,1,10,260000,70000,0,1,0,1,1
Maruti Swift VVT ZXI,0,6,550000,60000,0,1,0,1,1
Tata Indigo CR4,0,12,150000,155500,1,0,0,1,1
Hyundai i10 Asta AT,1,12,350000,50000,0,1,0,1,0
Chevrolet Beat LT,0,7,320000,40000,0,1,0,1,1
Maruti Swift VDI BSIV,1,8,400000,100000,1,0,0,1,1
Maruti Alto LXi,1,11,175000,80000,0,1,0,1,1
Chevrolet Beat LT,1,12,120000,90000,0,1,0,1,1
Renault Duster 110PS Diesel RxZ,1,10,320000,90000,1,0,0,1,1
Hyundai Santro Xing XG,1,17,70000,110000,0,1,0,1,1
Maruti Swift Dzire ZXI Plus,0,4,810000,15000,0,1,0,1,1
Maruti 800 AC,1,16,95000,100000,0,1,0,1,1
Maruti Alto K10 LXI CNG,0,3,282000,40000,0,0,0,1,1
Maruti 800 Std BSII,1,19,80000,60000,0,1,0,1,1
Tata Nano LX SE,0,10,72000,25000,0,1,0,1,1
Hyundai i20 Magna 1.2,0,7,600000,25000,0,1,0,1,1
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,0,8,640000,23000,0,1,0,1,1
Maruti Alto K10 VXI,0,5,380000,22155,0,1,0,1,1
Maruti Ciaz 1.4 Delta,0,5,650000,70000,0,1,0,1,1
Maruti Alto LX,1,14,150000,60000,0,1,0,1,1
Hyundai i20 Asta,1,14,280000,110000,0,1,0,1,1
Tata Nexon 1.2 Revotron XM,0,5,430000,30000,0,1,0,1,1
Mahindra Bolero Power Plus SLX,0,4,800000,15000,1,0,0,1,1
Maruti Zen D,1,20,75000,100000,1,0,0,1,1
Volkswagen Vento Celeste 1.5 TDI Highline AT,0,7,650000,70000,1,0,0,1,0
Maruti Eeco 7 Seater Standard BSIV,0,6,390000,24000,0,1,0,1,1
Honda City 1.5 EXI,1,18,100000,120000,0,1,0,1,1
Mercedes-Benz New C-Class 220 CDI AT,0,10,1500000,35000,1,0,0,1,0
Maruti SX4 Zxi with Leather BSIII,0,16,175000,78380,0,1,0,1,1
Renault Duster 110PS Diesel RxZ,1,11,434999,110000,1,0,0,1,1
Ford Figo Diesel Titanium,1,13,170000,90000,1,0,0,1,1
Ford Figo Diesel Titanium,1,12,190000,90000,1,0,0,1,1
Maruti Swift Dzire VDi,1,14,250000,150000,1,0,0,1,1
Mahindra Xylo E4,1,14,229999,230000,1,0,0,1,1
Maruti Esteem Vxi - BSIII,1,17,140000,70000,0,1,0,1,1
Maruti Swift VDI BSIV,0,6,600000,80362,1,0,0,1,1
Hyundai i20 1.2 Sportz,1,11,280000,110000,0,1,0,1,1
Chevrolet Beat Diesel LT,0,11,150000,60000,1,0,0,1,1
Chevrolet Cruze LTZ AT,0,8,650000,50000,1,0,0,1,0
Nissan Micra XL,1,9,210000,40000,0,1,0,1,1
BMW 5 Series 520d Luxury Line,0,6,2900000,40000,1,0,0,1,0
Chevrolet Enjoy 1.3 TCDi LS 8,0,10,425000,20000,1,0,1,0,1
Hyundai EON Era Plus Option,0,9,265000,55000,0,1,1,0,1
Fiat Linea T Jet Emotion,0,5,890000,1136,0,1,1,0,1
Renault Scala RxL,0,10,365000,55000,0,1,1,0,1
Ford Figo Petrol Titanium,0,9,350000,43000,0,1,1,0,1
Maruti Ciaz ZDi SHVS,0,7,685000,60000,1,0,0,1,1
Skoda Rapid 1.5 TDI Ambition BSIV,0,5,940000,2650,1,0,1,0,1
Mahindra XUV500 W6 2WD,0,6,1000000,40000,1,0,0,1,1
Mahindra XUV300 W8 Option,0,4,1150000,15000,0,1,1,0,1
Maruti Ertiga SHVS ZDI,1,7,450000,115962,1,0,0,1,1
Nissan Terrano XE D,0,8,590000,65000,1,0,1,0,1
Maruti S-Cross Facelift,0,6,800000,40000,1,0,0,1,1
Hyundai i20 Magna 1.4 CRDi (Diesel),0,11,385000,58000,1,0,1,0,1
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,0,10,2000000,15000,1,0,0,1,0
Hyundai EON Era Plus,0,11,235000,54000,0,1,1,0,1
Volkswagen Ameo 1.5 TDI Highline,0,6,640000,56000,1,0,1,0,1
Maruti Alto LX,1,17,52000,120000,0,1,0,1,1
Maruti Omni LPG CARGO BSIII W IMMOBILISER,1,14,80000,90000,0,0,0,1,1
Maruti Alto LX,1,11,140000,70000,0,1,0,1,1
Hyundai Verna i (Petrol),1,15,120000,90000,0,1,0,1,1
Mahindra Renault Logan 1.5 DLS,0,15,89999,213000,1,0,0,1,1
Chevrolet Optra Magnum 2.0 LS BSIII,0,11,180000,120000,1,0,0,1,1
Mahindra Scorpio S11 BSIV,0,6,1500000,20000,1,0,0,1,1
Hyundai i20 Active 1.2 SX,0,6,700000,10000,0,1,0,1,1
Maruti SX4 Celebration Diesel,1,11,285000,80000,1,0,0,1,1
Hyundai Grand i10 Magna,0,8,390000,90000,0,1,0,1,1
Maruti Alto LXi BSIII,0,15,125000,80000,0,1,0,1,1
Maruti SX4 Zxi with Leather BSIII,1,15,225000,60000,0,1,0,1,1
Hyundai i10 Era,1,12,175000,139000,0,1,0,1,1
Toyota Innova 2.5 V Diesel 7-seater,1,12,1075000,160000,1,0,0,1,1
Honda Mobilio V i DTEC,0,9,300000,150000,1,0,0,1,1
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,1,13,700000,163000,1,0,0,1,1
Tata Indica V2 2001-2011 DLS BSIII,0,14,90000,120000,1,0,1,0,1
Tata Indica Vista TDI LS,1,12,120000,120000,1,0,0,1,1
Chevrolet Beat Diesel LS,1,11,220000,100000,1,0,0,1,1
Tata Zest Quadrajet 1.3 75PS XE,0,8,300000,140000,1,0,1,0,1
Skoda Fabia 1.2L Diesel Ambiente,1,13,180000,87000,1,0,1,0,1
Maruti 800 Std,0,10,170000,70000,0,1,0,1,1
Ford Figo Petrol Titanium,1,8,300000,50000,0,1,0,1,1
Toyota Innova 2.5 VX (Diesel) 8 Seater,0,9,1050000,70000,1,0,0,1,1
Honda Mobilio V i DTEC,0,9,300000,150000,1,0,0,1,1
Hyundai Grand i10 1.2 CRDi Asta,0,5,465000,25000,1,0,0,1,1
Chevrolet Beat Diesel LT,1,12,130000,80000,1,0,0,1,1
Datsun GO Plus T Option Petrol,0,5,434999,10000,0,1,0,1,1
Hyundai Grand i10 1.2 Kappa Asta,0,5,500000,32000,0,1,0,1,1
Maruti Omni MPI STD BSIV,0,5,200000,10000,0,1,0,1,1
Maruti Baleno Alpha 1.2,0,6,625000,52000,0,1,1,0,1
Ford Fiesta Classic 1.4 SXI Duratorq,1,17,110000,120000,1,0,0,1,1
Hyundai Elite i20 Asta Option BSIV,0,4,800000,11240,0,1,0,1,1
Hyundai Grand i10 CRDi Magna,0,6,490000,66000,1,0,1,0,1
Maruti Ertiga SHVS ZDI,0,6,880000,64000,1,0,1,0,1
Hyundai Santro Xing GL Plus,0,10,290000,49000,0,1,0,1,1
Tata Sumo GX TC 7 Str BSIII,1,17,115999,100000,1,0,0,1,1
Renault KWID RXT,0,5,360000,26500,0,1,0,1,1
Maruti 800 AC,1,21,65000,100000,0,1,0,1,1
Maruti Vitara Brezza LDi Option,0,6,685000,72000,1,0,1,0,1
Honda Jazz S,0,14,300000,50000,0,1,0,1,1
Hyundai i20 1.4 Sportz,0,6,680000,44000,1,0,1,0,1
Maruti Ertiga SHVS ZDI Plus,1,6,1000000,60000,1,0,0,1,1
Tata Sumo SE Plus BSIII,0,21,100000,120000,1,0,0,1,1
Mahindra Xylo E4,0,13,160000,130000,1,0,0,1,1
Maruti Swift ZDi BSIV,0,6,450000,70000,1,0,0,1,1
Maruti Ertiga VXI,0,9,600000,20000,0,1,0,1,1
Hyundai i20 1.4 Magna ABS,1,14,180000,60000,1,0,0,1,1
Maruti Alto LXi,0,16,100000,195000,0,1,0,1,1
Maruti Alto LXi,1,13,120000,90000,0,1,0,1,1
Hyundai Getz GL,1,17,130000,80000,0,1,0,1,1
Maruti Wagon R LX BS IV,0,12,160000,155000,0,1,0,1,1
Mahindra Bolero Power Plus SLX,0,4,860000,35000,1,0,0,1,1
Hyundai i20 1.2 Spotz,1,5,650000,20000,0,1,0,1,1
Maruti Wagon R LXI Minor,1,13,100000,80000,0,1,0,1,1
Maruti Alto 800 VXI,0,6,282000,20000,0,1,0,1,1
Hyundai i20 Asta (o),0,14,300000,50000,0,1,0,1,1
Hyundai i20 Asta,1,13,270000,110000,0,1,0,1,1
Hyundai Verna 1.6 SX CRDi (O),0,10,550000,29000,1,0,0,1,1
Mahindra Xylo D2 BSIV,0,10,450000,120000,1,0,0,1,1
Mahindra Bolero SLX 2WD BSIII,1,12,430000,70000,1,0,0,1,1
Maruti Ertiga VXI ABS,0,10,350000,40000,0,1,0,1,1
Honda Brio 1.2 E MT,0,6,350000,20000,0,1,0,1,1
Toyota Etios Liva G,1,10,229999,50000,0,1,0,1,1
Maruti Alto 800 LXI,0,10,110000,50000,0,1,0,1,1
Maruti Swift Dzire 1.2 Vxi BSIV,1,11,395000,49000,0,1,0,1,1
Mahindra Scorpio VLS AT 2.2 mHAWK,1,12,650000,70000,1,0,0,1,0
Mahindra Bolero SLX,1,12,350000,90000,1,0,0,1,1
Mahindra XUV500 W11 Option AWD,0,3,1400000,25000,1,0,1,0,1
Tata Tiago 1.2 Revotron XZ,0,5,360000,4000,0,1,0,1,1
Mahindra Marazzo M8 8Str,0,5,1300000,10000,1,0,0,1,1
Renault Duster 110PS Diesel RxL,0,8,800000,15000,1,0,0,1,1
Hyundai EON Magna Plus,0,5,229999,30000,0,1,0,1,1
Maruti Wagon R VXI,0,9,315000,41000,0,1,1,0,1
Chevrolet Spark 1.0 LT,0,11,125000,28000,0,1,0,1,1
Maruti Baleno Alpha,0,4,700000,16000,0,1,0,1,1
Hyundai EON 1.0 Kappa Magna Plus,0,8,160000,70000,0,1,0,1,1
Ford Figo Aspire 1.2 Ti-VCT Trend,0,6,530000,10832,0,1,1,0,1
Ford Figo Aspire Facelift,0,5,624000,14681,1,0,1,0,1
Hyundai i10 Era,0,14,250000,50000,0,1,0,1,1
Mahindra Bolero SLX,0,7,585000,51000,1,0,1,0,1
Hyundai Verna 1.4 VTVT,0,8,500000,25000,0,1,0,1,1
Chevrolet Sail 1.2 LT ABS,0,9,350000,30000,0,1,0,1,1
Honda City i-DTEC SV,0,9,495000,80000,1,0,1,0,1
Hyundai Grand i10 1.2 Kappa Asta,0,6,500000,50000,0,1,0,1,1
Mahindra Bolero Power Plus Plus AC BSIV PS,0,8,430000,200000,1,0,0,1,1
Hyundai Grand i10 1.2 Kappa Sportz Option,0,10,345000,44000,0,1,1,0,1
Maruti Baleno Sigma 1.2,0,8,500000,10000,0,1,0,1,1
Tata Tiago 1.2 Revotron XZ,0,4,425000,19600,0,1,0,1,1
Maruti Wagon R LXI,1,18,80000,40000,0,1,0,1,1
Chevrolet Beat Diesel LS,0,12,106000,50000,1,0,0,1,1
Maruti A-Star Vxi,0,14,180000,46730,0,1,0,1,1
Datsun GO A,1,8,250000,40000,0,1,0,1,1
Skoda Yeti Ambition 4WD,0,12,350000,80000,1,0,0,1,1
Maruti Zen LXi BSII,1,21,60000,80000,0,1,0,1,1
Hyundai Verna CRDi 1.6 EX,0,5,900000,24000,1,0,0,1,1
Ford Aspire Titanium Diesel BSIV,0,6,700000,21170,1,0,1,0,1
BMW 3 Series 320d Sport,0,10,2000000,167223,1,0,1,0,0
Maruti Ertiga SHVS ZDI Plus,0,6,1000000,40000,1,0,0,1,1
BMW X1 sDrive 20d Exclusive,0,12,1375000,60000,1,0,0,1,0
Toyota Innova Crysta 2.4 VX MT,0,7,1800000,141440,1,0,1,0,1
Chevrolet Tavera Neo 3 10 Seats BSIV,1,16,160000,120000,1,0,0,1,1
Mitsubishi Outlander 2.4,0,11,525000,140000,0,1,0,1,0
Mahindra XUV500 W8 2WD,0,11,850000,212814,1,0,1,0,1
Maruti Baleno Alpha 1.3,0,4,800000,30000,1,0,0,1,1
Ford Figo Aspire 1.5 TDCi Titanium,0,6,700000,88635,1,0,1,0,1
Maruti Swift Dzire VDI,0,5,800000,25000,1,0,0,1,1
Hyundai i20 1.2 Spotz,1,6,575000,20000,0,1,0,1,1
Renault Duster 110PS Diesel RxZ,1,11,350000,110000,1,0,0,1,1
Maruti Swift Vdi BSIII,1,15,250000,120000,1,0,0,1,1
Ford Endeavour Titanium 4X2,1,12,600000,149674,1,0,1,0,1
Mahindra Scorpio 2.6 Turbo 9 Str,1,16,370000,100000,1,0,0,1,1
Maruti Baleno Vxi,1,17,80000,120000,0,1,0,1,1
Tata Indica DLX,1,20,50000,120000,1,0,0,1,1
Hyundai Verna CRDi 1.6 EX,0,5,900000,25000,1,0,0,1,1
Maruti Wagon R VXI BS IV,1,9,300000,35000,0,1,0,1,1
Tata Indica LSI,0,21,125000,40000,0,1,0,1,1
Maruti Swift Dzire VDI,1,8,490000,60000,1,0,0,1,1
Toyota Etios Liva GD,1,11,300000,50000,1,0,0,1,1
Tata Nano STD,1,10,55000,25000,0,1,0,1,1
Hyundai Grand i10 Sportz,0,7,350000,25000,0,1,0,1,1
Hyundai Grand i10 1.2 CRDi Asta,0,4,755000,8000,1,0,0,1,1
Maruti Ertiga SHVS VDI,0,6,720000,60000,1,0,0,1,1
Mahindra Bolero SLX,1,17,229999,200000,1,0,0,1,1
Mahindra Scorpio S7 140 BSIV,0,5,1100000,20000,1,0,0,1,1
Volkswagen Polo Petrol Comfortline 1.2L,0,10,400000,100000,0,1,0,1,1
Hyundai Xcent 1.1 CRDi Base,1,8,350000,70000,1,0,0,1,1
Chevrolet Beat Diesel PS,0,11,159000,68000,1,0,1,0,1
Maruti Swift ZXi BSIV,0,6,550000,38000,0,1,1,0,1
Maruti Ritz VDi,0,10,335000,80000,1,0,1,0,1
Tata Indigo CS Emax CNG GLX,0,9,185000,72000,0,0,1,0,1
Maruti Eeco 5 STR With AC Plus HTR CNG,0,11,229999,75000,0,0,1,0,1
Maruti Estilo LXI,0,9,225000,43000,0,1,1,0,1
Maruti Swift VXI with ABS,1,16,250000,120000,0,1,0,1,1
Tata Zest Quadrajet 1.3 XM,0,8,400000,100000,1,0,0,1,1
Maruti Swift VDI BSIV,0,9,470000,163000,1,0,0,1,1
Maruti Alto K10 VXI AGS Optional,0,5,300000,25000,0,1,0,1,0
Maruti Alto LX,0,12,145000,25000,0,1,0,1,1
Maruti SX4 Vxi BSIII,1,16,100000,90000,0,1,0,1,1
Mahindra Scorpio SLE BSIV,1,9,500000,70000,1,0,0,1,1
Hyundai Santro Xing GLS CNG,1,13,130000,98000,0,0,0,1,1
Chevrolet Cruze LTZ,0,13,240000,81925,1,0,0,1,1
Ford Figo Diesel Celebration Edition,1,10,150000,80000,1,0,0,1,1
Renault KWID RXT Optional,0,6,270000,40000,0,1,0,1,1
Maruti Swift Dzire VDI,0,9,400000,90000,1,0,0,1,1
Hyundai EON Era Plus,0,11,200000,46000,0,1,0,1,1
Mahindra XUV500 W6 2WD,0,11,550000,80000,1,0,0,1,1
Renault KWID 1.0 RXT Optional,0,5,325000,35000,0,1,0,1,1
Skoda Rapid 1.5 TDI AT Style BSIV,0,6,860000,82080,1,0,0,1,0
Mahindra XUV500 W8 2WD,0,11,600000,200000,1,0,0,1,1
